year,rate[kg/s]
2.0039200e+03,0.0000000e+00
2.0040400e+03,2.9711613e+01
2.0056200e+03,2.9367747e+01
2.0058400e+03,4.6802799e+01
2.0060600e+03,5.1125181e+01
2.0065100e+03,9.9104114e+01
2.0066700e+03,8.5957487e+01
2.0067400e+03,1.2965130e+02
2.0069700e+03,1.2522891e+02
2.0071000e+03,1.1645981e+02
2.0073200e+03,1.3826565e+02
2.0077000e+03,1.5129554e+02
2.0079000e+03,9.0059700e+01
2.0081000e+03,1.4246445e+02
2.0083600e+03,2.3856643e+02
2.0085000e+03,1.9919842e+02
2.0086900e+03,2.3849418e+02
2.0096200e+03,2.4703285e+02
2.0101500e+03,1.9446650e+02
2.0102800e+03,2.1629287e+02
2.0104600e+03,2.3373488e+02
2.0106900e+03,2.8613583e+02
2.0108700e+03,2.9920678e+02
2.0110600e+03,3.1227812e+02
2.0111700e+03,2.5543387e+02
2.0112700e+03,3.0786258e+02
2.0115400e+03,3.0343334e+02
2.0118000e+03,3.7767777e+02
2.0120100e+03,3.7763328e+02
2.0121600e+03,3.4700357e+02
2.0124500e+03,4.9117804e+02
2.0125700e+03,6.1352955e+02
2.0126700e+03,5.5668872e+02
2.0127500e+03,6.7031333e+02
2.0129400e+03,7.5768880e+02
2.0130000e+03,8.0575329e+02
2.0131000e+03,1.7541904e+03
2.0131600e+03,1.5662332e+03
2.0133500e+03,1.9857845e+03
2.0134100e+03,2.1256354e+03
2.0135100e+03,2.0469427e+03
2.0136200e+03,2.1824108e+03
2.0137000e+03,2.1692813e+03
2.0138500e+03,2.3921553e+03
2.0140100e+03,2.2304016e+03
2.0140900e+03,2.2522397e+03
2.0141700e+03,2.0642787e+03
2.0142500e+03,2.4314054e+03
2.0144500e+03,2.4532162e+03
2.0145000e+03,2.4051259e+03
2.0146700e+03,2.6629668e+03
2.0148600e+03,2.8115302e+03
2.0149300e+03,2.7503255e+03
2.0150417e+03,2.4872554e+03
2.0151250e+03,2.5916094e+03
2.0152083e+03,2.8020844e+03
2.0152917e+03,2.6612508e+03
2.0153750e+03,2.6115136e+03
2.0154583e+03,2.6600875e+03
2.0155417e+03,2.5167048e+03
2.0156250e+03,2.5297898e+03
2.0157083e+03,2.3831201e+03
2.0157917e+03,2.3837991e+03
2.0158750e+03,2.0778976e+03
2.0159583e+03,1.9750184e+03
2.0160417e+03,2.1664108e+03
2.0161250e+03,2.0526597e+03
2.0162083e+03,2.0800551e+03
2.0162917e+03,1.8539603e+03
2.0163750e+03,1.8214460e+03
2.0164583e+03,1.7003100e+03
2.0165417e+03,1.6842682e+03
2.0166250e+03,1.5594477e+03
2.0167083e+03,1.5674844e+03
2.0167917e+03,1.5633629e+03
2.0168750e+03,1.5342292e+03
2.0169583e+03,1.4803149e+03
2.0170417e+03,1.4289102e+03
2.0171250e+03,1.4967141e+03
2.0172083e+03,1.3900138e+03
2.0172917e+03,1.4120380e+03
2.0173750e+03,1.3257546e+03
2.0174583e+03,1.3217499e+03
2.0175417e+03,1.3228725e+03
2.0176250e+03,1.2009083e+03
2.0177083e+03,1.2884981e+03
2.0177917e+03,1.2291332e+03
2.0178750e+03,1.2546674e+03
2.0179583e+03,1.1637022e+03
2.0180417e+03,1.0839159e+03
2.0181250e+03,1.1251875e+03
2.0182083e+03,1.0986532e+03
2.0182917e+03,9.8796210e+02
2.0183750e+03,1.0441315e+03
2.0184583e+03,1.0577072e+03
2.0185417e+03,1.0410399e+03
2.0186250e+03,1.0429190e+03
